"Departamento","Código Departamento","Municipio","Código Municipio","Programa","Año de asignacion","No. SFV Asignados","Valor Asignado","Tipo de suelo"
"ANTIOQUIA","5","ABRIAQUI","5,004","Mi Casa Ya","2,024","28","1,066,000,000","URBANO"
"ANTIOQUIA","5","ALEJANDRIA","5,021","Mi Casa Ya","2,023","14","429,200,000","URBANO"
"ANTIOQUIA","5","ALEJANDRIA","5,021","Mi Casa Ya","2,024","2","65,000,000","URBANO"
"ANTIOQUIA","5","ANDES","5,034","Mi Casa Ya","2,022","45","944,387,280","URBANO"
"ANTIOQUIA","5","ANDES","5,034","Mi Casa Ya","2,023","1","23,200,000","URBANO"
"ANTIOQUIA","5","ANDES","5,034","Mi Casa Ya","2,024","1","26,000,000","URBANO"
"ANTIOQUIA","5","ANGOSTURA","5,038","Mi Casa Ya","2,022","1","30,000,000","URBANO"
"ANTIOQUIA","5","ANGOSTURA","5,038","Mi Casa Ya","2,023","1","34,800,000","URBANO"
"ANTIOQUIA","5","APARTADO","5,045","Mi Casa Ya","2,022","74","1,597,984,100","URBANO"
"ANTIOQUIA","5","APARTADO","5,045","Mi Casa Ya","2,023","204","4,814,000,000","URBANO"
"ANTIOQUIA","5","APARTADO","5,045","Mi Casa Ya","2,024","92","2,509,000,000","URBANO"
"ANTIOQUIA","5","ARBOLETES","5,051","Mi Casa Ya","2,022","37","1,059,937,860","URBANO"
"ANTIOQUIA","5","ARBOLETES","5,051","Mi Casa Ya","2,023","7","243,600,000","URBANO"
"ANTIOQUIA","5","ARBOLETES","5,051","Mi Casa Ya","2,024","7","260,000,000","URBANO"
"ANTIOQUIA","5","BELLO","5,088","Mi Casa Ya","2,022","1,075","22,739,468,160","URBANO"
"ANTIOQUIA","5","BELLO","5,088","Mi Casa Ya","2,023","317","7,848,400,000","URBANO"
"ANTIOQUIA","5","BELLO","5,088","Mi Casa Ya","2,024","401","11,401,000,000","URBANO"
"ANTIOQUIA","5","BELLO","5,088","Mi Casa Ya","2,025","8","270,465,000","URBANO"
"ANTIOQUIA","5","CALDAS","5,129","Mi Casa Ya","2,022","12","250,000,000","URBANO"
"ANTIOQUIA","5","CALDAS","5,129","Mi Casa Ya","2,023","5","116,000,000","URBANO"
"ANTIOQUIA","5","CALDAS","5,129","Mi Casa Ya","2,024","14","403,000,000","URBANO"
"ANTIOQUIA","5","CAMPAMENTO","5,134","Mi Casa Ya","2,024","1","26,000,000","URBANO"
"ANTIOQUIA","5","CARAMANTA","5,145","Mi Casa Ya","2,022","1","27,255,780","URBANO"
"ANTIOQUIA","5","CAREPA","5,147","Mi Casa Ya","2,022","37","861,705,200","URBANO"
"ANTIOQUIA","5","CAREPA","5,147","Mi Casa Ya","2,023","11","324,800,000","URBANO"
"ANTIOQUIA","5","CAREPA","5,147","Mi Casa Ya","2,024","39","1,079,000,000","URBANO"
"ANTIOQUIA","5","CAREPA","5,147","Mi Casa Ya","2,025","1","42,705,000","URBANO"
"ANTIOQUIA","5","CARMEN DE VIBORAL","5,148","Mi Casa Ya","2,022","47","1,050,000,000","URBANO"
"ANTIOQUIA","5","CARMEN DE VIBORAL","5,148","Mi Casa Ya","2,023","9","232,000,000","URBANO"
"ANTIOQUIA","5","CARMEN DE VIBORAL","5,148","Mi Casa Ya","2,024","74","1,989,000,000","URBANO"
"ANTIOQUIA","5","CARMEN DE VIBORAL","5,148","Mi Casa Ya","2,025","1","28,470,000","URBANO"
"ANTIOQUIA","5","CAUCASIA","5,154","Mi Casa Ya","2,022","10","245,426,300","URBANO"
"ANTIOQUIA","5","CAUCASIA","5,154","Mi Casa Ya","2,023","36","1,183,200,000","URBANO"
"ANTIOQUIA","5","CAUCASIA","5,154","Mi Casa Ya","2,024","26","936,000,000","URBANO"
"ANTIOQUIA","5","CAUCASIA","5,154","Mi Casa Ya","2,025","4","156,585,000","URBANO"
"ANTIOQUIA","5","CHIGORODO","5,172","Mi Casa Ya","2,022","28","709,875,720","URBANO"
"ANTIOQUIA","5","CHIGORODO","5,172","Mi Casa Ya","2,023","37","986,000,000","URBANO"
"ANTIOQUIA","5","CHIGORODO","5,172","Mi Casa Ya","2,024","95","2,912,000,000","URBANO"
"ANTIOQUIA","5","CHIGORODO","5,172","Mi Casa Ya","2,025","4","142,350,000","URBANO"
"ANTIOQUIA","5","CIUDAD BOLIVAR","5,101","Mi Casa Ya","2,022","41","1,017,193,640","URBANO"
"ANTIOQUIA","5","CIUDAD BOLIVAR","5,101","Mi Casa Ya","2,023","20","533,600,000","URBANO"
"ANTIOQUIA","5","CIUDAD BOLIVAR","5,101","Mi Casa Ya","2,024","3","91,000,000","URBANO"
"ANTIOQUIA","5","COCORNA","5,197","Mi Casa Ya","2,022","1","20,000,000","URBANO"
"ANTIOQUIA","5","COCORNA","5,197","Mi Casa Ya","2,023","8","185,600,000","URBANO"
"ANTIOQUIA","5","COCORNA","5,197","Mi Casa Ya","2,024","8","208,000,000","URBANO"
"ANTIOQUIA","5","COCORNA","5,197","Mi Casa Ya","2,025","3","99,645,000","URBANO"
"ANTIOQUIA","5","CONCORDIA","5,209","Mi Casa Ya","2,022","7","207,255,780","URBANO"
"ANTIOQUIA","5","CONCORDIA","5,209","Mi Casa Ya","2,023","6","162,400,000","URBANO"
"ANTIOQUIA","5","COPACABANA","5,212","Mi Casa Ya","2,022","63","1,297,797,680","URBANO"
"ANTIOQUIA","5","COPACABANA","5,212","Mi Casa Ya","2,023","31","835,200,000","URBANO"
"ANTIOQUIA","5","COPACABANA","5,212","Mi Casa Ya","2,024","34","1,027,000,000","URBANO"
"ANTIOQUIA","5","DON MATIAS","5,237","Mi Casa Ya","2,022","4","107,255,780","URBANO"
"ANTIOQUIA","5","ENTRERRIOS","5,264","Mi Casa Ya","2,022","7","178,170,520","URBANO"
"ANTIOQUIA","5","ENTRERRIOS","5,264","Mi Casa Ya","2,023","9","290,000,000","URBANO"
"ANTIOQUIA","5","ENTRERRIOS","5,264","Mi Casa Ya","2,024","2","52,000,000","URBANO"
"ANTIOQUIA","5","ENVIGADO","5,266","Mi Casa Ya","2,022","39","939,937,860","URBANO"
"ANTIOQUIA","5","ENVIGADO","5,266","Mi Casa Ya","2,023","12","336,400,000","URBANO"
"ANTIOQUIA","5","ENVIGADO","5,266","Mi Casa Ya","2,024","125","3,497,000,000","URBANO"
"ANTIOQUIA","5","ENVIGADO","5,266","Mi Casa Ya","2,025","3","113,880,000","URBANO"
"ANTIOQUIA","5","GIRARDOTA","5,308","Mi Casa Ya","2,022","3","80,000,000","URBANO"
"ANTIOQUIA","5","GIRARDOTA","5,308","Mi Casa Ya","2,023","20","522,000,000","URBANO"
"ANTIOQUIA","5","GIRARDOTA","5,308","Mi Casa Ya","2,024","6","182,000,000","URBANO"
"ANTIOQUIA","5","GUARNE","5,318","Mi Casa Ya","2,022","62","1,308,170,520","URBANO"
"ANTIOQUIA","5","GUARNE","5,318","Mi Casa Ya","2,023","114","2,737,600,000","URBANO"
"ANTIOQUIA","5","GUARNE","5,318","Mi Casa Ya","2,024","5","130,000,000","URBANO"
"ANTIOQUIA","5","HISPANIA","5,353","Mi Casa Ya","2,022","1","18,170,520","URBANO"
"ANTIOQUIA","5","HISPANIA","5,353","Mi Casa Ya","2,023","4","92,800,000","URBANO"
"ANTIOQUIA","5","ITAGUI","5,360","Mi Casa Ya","2,022","58","1,240,000,000","URBANO"
"ANTIOQUIA","5","ITAGUI","5,360","Mi Casa Ya","2,023","51","1,276,000,000","URBANO"
"ANTIOQUIA","5","ITAGUI","5,360","Mi Casa Ya","2,024","117","3,211,000,000","URBANO"
"ANTIOQUIA","5","JARDIN","5,364","Mi Casa Ya","2,024","6","169,000,000","URBANO"
"ANTIOQUIA","5","JARDIN","5,364","Mi Casa Ya","2,025","7","213,525,000","URBANO"
"ANTIOQUIA","5","LA CEJA","5,376","Mi Casa Ya","2,022","90","1,899,875,720","URBANO"
"ANTIOQUIA","5","LA CEJA","5,376","Mi Casa Ya","2,023","170","4,025,200,000","URBANO"
"ANTIOQUIA","5","LA CEJA","5,376","Mi Casa Ya","2,024","205","5,447,000,000","URBANO"
"ANTIOQUIA","5","LA CEJA","5,376","Mi Casa Ya","2,025","7","199,290,000","URBANO"
"ANTIOQUIA","5","LA ESTRELLA","5,380","Mi Casa Ya","2,022","90","1,997,921,960","URBANO"
"ANTIOQUIA","5","LA ESTRELLA","5,380","Mi Casa Ya","2,023","74","1,809,600,000","URBANO"
"ANTIOQUIA","5","LA ESTRELLA","5,380","Mi Casa Ya","2,024","54","1,521,000,000","URBANO"
"ANTIOQUIA","5","LA PINTADA","5,390","Mi Casa Ya","2,022","9","180,000,000","URBANO"
"ANTIOQUIA","5","LA PINTADA","5,390","Mi Casa Ya","2,023","40","951,200,000","URBANO"
"ANTIOQUIA","5","LA PINTADA","5,390","Mi Casa Ya","2,024","1","26,000,000","URBANO"
"ANTIOQUIA","5","LA UNION","5,400","Mi Casa Ya","2,023","27","661,200,000","URBANO"
"ANTIOQUIA","5","LA UNION","5,400","Mi Casa Ya","2,024","41","1,092,000,000","URBANO"
"ANTIOQUIA","5","LA UNION","5,400","Mi Casa Ya","2,025","3","85,410,000","URBANO"
"ANTIOQUIA","5","MARINILLA","5,440","Mi Casa Ya","2,022","8","185,426,300","URBANO"
"ANTIOQUIA","5","MARINILLA","5,440","Mi Casa Ya","2,023","16","406,000,000","URBANO"
"ANTIOQUIA","5","MARINILLA","5,440","Mi Casa Ya","2,024","4","130,000,000","URBANO"
"ANTIOQUIA","5","MEDELLIN","5,001","Mi Casa Ya","2,022","734","16,156,385,820","URBANO"
"ANTIOQUIA","5","MEDELLIN","5,001","Mi Casa Ya","2,023","248","5,927,600,000","URBANO"
"ANTIOQUIA","5","MEDELLIN","5,001","Mi Casa Ya","2,024","251","7,059,000,000","URBANO"
"ANTIOQUIA","5","MEDELLIN","5,001","Mi Casa Ya","2,025","3","99,645,000","URBANO"
"ANTIOQUIA","5","PEQUE","5,543","Mi Casa Ya","2,022","30","726,341,040","URBANO"
"ANTIOQUIA","5","PEQUE","5,543","Mi Casa Ya","2,023","23","719,200,000","URBANO"
"ANTIOQUIA","5","PEQUE","5,543","Mi Casa Ya","2,024","3","91,000,000","URBANO"
"ANTIOQUIA","5","PUEBLO RICO","5,576","Mi Casa Ya","2,022","40","1,124,511,560","URBANO"
"ANTIOQUIA","5","PUEBLO RICO","5,576","Mi Casa Ya","2,023","5","162,400,000","URBANO"
"ANTIOQUIA","5","PUEBLO RICO","5,576","Mi Casa Ya","2,024","1","26,000,000","URBANO"
"ANTIOQUIA","5","RETIRO","5,607","Mi Casa Ya","2,022","6","120,000,000","URBANO"
"ANTIOQUIA","5","RETIRO","5,607","Mi Casa Ya","2,023","9","208,800,000","URBANO"
"ANTIOQUIA","5","RETIRO","5,607","Mi Casa Ya","2,024","22","585,000,000","URBANO"
"ANTIOQUIA","5","RETIRO","5,607","Mi Casa Ya","2,025","1","28,470,000","URBANO"
"ANTIOQUIA","5","RIONEGRO","5,615","Mi Casa Ya","2,022","84","1,782,433,520","URBANO"
"ANTIOQUIA","5","RIONEGRO","5,615","Mi Casa Ya","2,023","49","1,206,400,000","URBANO"
"ANTIOQUIA","5","RIONEGRO","5,615","Mi Casa Ya","2,024","169","4,771,000,000","URBANO"
"ANTIOQUIA","5","RIONEGRO","5,615","Mi Casa Ya","2,025","2","56,940,000","URBANO"
"ANTIOQUIA","5","SABANETA","5,631","Mi Casa Ya","2,022","237","5,075,364,160","URBANO"
"ANTIOQUIA","5","SABANETA","5,631","Mi Casa Ya","2,023","68","1,728,400,000","URBANO"
"ANTIOQUIA","5","SABANETA","5,631","Mi Casa Ya","2,024","49","1,378,000,000","URBANO"
"ANTIOQUIA","5","SAN CARLOS","5,649","Mi Casa Ya","2,023","24","754,000,000","URBANO"
"ANTIOQUIA","5","SAN CARLOS","5,649","Mi Casa Ya","2,024","6","221,000,000","URBANO"
